Area,Crop,Soil,GPS,Documents,NDVI,Rainfall,Verified
5.33,Cotton,Sandy,0,1,0.32,584,0
7.98,Wheat,Loam,1,1,0.89,1305,1
14.44,Cotton,Black,1,1,0.74,440,1
11.03,Sugarcane,Black,0,0,0.65,370,0
6.05,Millets,Clay,0,0,0.83,593,0
4.19,Maize,Loam,0,1,0.69,1453,0
8.13,Cotton,Clay,1,1,0.62,817,1
9.18,Wheat,Clay,0,0,0.51,501,0
10.86,Wheat,Sandy,1,1,0.3,1000,0
1.54,Rice,Black,1,0,0.3,1087,0
8.33,Rice,Clay,0,0,0.43,1203,0
10.81,Rice,Loam,1,1,0.74,606,1
1.19,Maize,Loam,1,1,0.43,672,0
13.98,Maize,Black,0,0,0.52,1192,0
11.69,Maize,Clay,0,0,0.85,447,0
9.21,Millets,Black,1,0,0.77,1009,0
2.34,Millets,Clay,0,0,0.6,680,0
12.31,Rice,Black,1,1,0.3,320,0
7.23,Millets,Black,1,0,0.8,876,0
1.62,Wheat,Clay,0,1,0.78,1095,0
1.24,Wheat,Black,1,1,0.62,1450,0
9.73,Rice,Clay,0,0,0.25,1168,0
11.4,Maize,Loam,1,0,0.71,339,0
7.0,Maize,Clay,1,1,0.87,938,1
14.18,Rice,Clay,1,1,0.37,1032,0
11.53,Millets,Loam,1,0,0.68,327,0
4.81,Millets,Clay,0,0,0.44,1006,0
10.16,Sugarcane,Clay,0,1,0.55,1198,0
14.65,Wheat,Clay,0,0,0.78,1311,0
4.13,Maize,Sandy,1,0,0.49,840,0
2.98,Maize,Sandy,0,0,0.29,1084,0
2.74,Rice,Sandy,0,0,0.42,611,0
13.02,Cotton,Clay,1,0,0.32,851,0
14.17,Rice,Loam,1,1,0.7,1228,1
3.72,Cotton,Clay,1,0,0.8,537,0
9.05,Sugarcane,Loam,1,1,0.38,1098,0
7.59,Rice,Sandy,0,1,0.62,627,0
6.02,Maize,Clay,0,1,0.39,975,0
8.84,Wheat,Clay,0,0,0.55,1033,0
6.64,Cotton,Loam,0,0,0.35,1311,0
13.83,Wheat,Black,0,1,0.24,556,0
13.2,Wheat,Sandy,0,1,0.55,558,0
6.37,Wheat,Black,1,1,0.51,1273,1
10.14,Wheat,Black,0,0,0.89,388,0
14.49,Maize,Black,1,1,0.35,978,0
10.24,Rice,Black,1,1,0.83,930,1
13.38,Cotton,Clay,1,0,0.76,1110,0
7.88,Wheat,Sandy,1,0,0.84,1021,0
5.97,Rice,Black,0,1,0.58,1393,0
3.72,Millets,Clay,1,0,0.93,997,0
12.01,Sugarcane,Black,0,1,0.68,535,0
3.26,Rice,Loam,1,0,0.68,400,0
8.5,Sugarcane,Clay,1,0,0.91,985,0
5.37,Sugarcane,Loam,0,0,0.86,404,0
8.52,Maize,Black,0,1,0.2,683,0
3.38,Sugarcane,Loam,1,0,0.74,962,0
4.82,Cotton,Sandy,0,0,0.4,690,0
11.11,Rice,Clay,0,1,0.41,934,0
14.81,Millets,Sandy,0,1,0.55,1028,0
1.73,Rice,Black,0,1,0.38,967,0
14.18,Sugarcane,Loam,0,0,0.57,344,0
14.44,Cotton,Sandy,1,1,0.57,791,1
13.47,Wheat,Black,1,1,0.78,1493,1
1.45,Rice,Sandy,1,1,0.53,326,0
11.84,Rice,Sandy,0,0,0.86,1134,0
8.62,Sugarcane,Loam,0,1,0.77,1112,0
10.7,Cotton,Loam,0,1,0.93,455,0
8.35,Sugarcane,Black,0,1,0.25,448,0
1.0,Maize,Black,0,1,0.45,547,0
12.87,Sugarcane,Clay,0,0,0.73,779,0
7.33,Wheat,Black,1,1,0.7,760,1
1.96,Wheat,Loam,1,1,0.61,1491,0
8.53,Millets,Loam,0,1,0.46,506,0
14.35,Wheat,Clay,0,1,0.51,749,0
12.87,Wheat,Clay,0,1,0.69,1428,0
4.82,Maize,Clay,1,1,0.72,507,1
7.14,Rice,Loam,1,0,0.52,473,0
1.38,Millets,Sandy,0,1,0.32,805,0
5.19,Rice,Sandy,0,1,0.37,1198,0
4.05,Millets,Loam,1,1,0.61,589,1
5.75,Cotton,Clay,0,1,0.93,1190,0
10.56,Sugarcane,Sandy,1,1,0.39,1035,0
2.14,Sugarcane,Loam,1,1,0.49,528,0
10.67,Sugarcane,Clay,1,0,0.62,397,0
9.02,Rice,Black,0,1,0.6,349,0
6.03,Cotton,Clay,1,0,0.52,798,0
11.8,Rice,Loam,1,1,0.81,528,1
14.57,Cotton,Loam,1,1,0.85,674,1
3.04,Rice,Sandy,0,0,0.2,578,0
1.25,Millets,Black,1,0,0.65,310,0
8.87,Sugarcane,Loam,1,0,0.33,566,0
6.87,Maize,Loam,0,0,0.85,765,0
9.86,Cotton,Black,0,0,0.91,569,0
8.56,Rice,Clay,0,0,0.36,694,0
6.57,Millets,Loam,0,1,0.49,441,0
1.27,Sugarcane,Clay,0,0,0.73,620,0
4.16,Millets,Clay,1,0,0.71,600,0
9.62,Millets,Black,1,0,0.9,726,0
11.63,Sugarcane,Sandy,0,0,0.84,1296,0
2.97,Maize,Loam,0,1,0.92,1249,0
8.18,Rice,Black,0,0,0.59,690,0
5.16,Wheat,Sandy,1,0,0.56,775,0
5.01,Wheat,Loam,0,1,0.5,477,0
1.23,Cotton,Black,1,1,0.39,738,0
6.17,Millets,Clay,0,1,0.27,1290,0
5.61,Maize,Clay,0,1,0.55,376,0
8.01,Rice,Sandy,1,0,0.9,1086,0
1.85,Wheat,Black,1,0,0.28,1446,0
6.14,Maize,Loam,1,0,0.44,1286,0
5.96,Millets,Black,0,0,0.44,1498,0
9.48,Millets,Sandy,0,1,0.32,1384,0
9.84,Sugarcane,Clay,0,0,0.78,1230,0
6.03,Rice,Sandy,1,0,0.74,311,0
12.74,Millets,Sandy,0,1,0.34,1097,0
5.87,Rice,Sandy,1,0,0.9,1377,0
6.84,Cotton,Black,0,1,0.21,339,0
11.63,Cotton,Loam,1,1,0.93,905,1
9.6,Rice,Loam,0,0,0.63,1469,0
11.23,Millets,Black,1,1,0.8,736,1
5.53,Wheat,Sandy,0,1,0.77,1307,0
5.55,Millets,Black,1,1,0.79,522,1
9.0,Millets,Clay,1,0,0.28,556,0
7.34,Millets,Sandy,0,1,0.79,314,0
13.9,Cotton,Black,0,0,0.64,393,0
12.51,Maize,Sandy,0,0,0.49,636,0
8.69,Millets,Sandy,1,0,0.85,579,0
14.87,Millets,Clay,0,1,0.31,527,0
12.02,Sugarcane,Sandy,0,0,0.46,1442,0
12.07,Sugarcane,Clay,1,0,0.47,620,0
0.61,Wheat,Clay,1,1,0.65,921,0
10.53,Millets,Clay,1,0,0.65,456,0
5.15,Millets,Loam,1,1,0.9,1341,1
3.05,Maize,Black,0,0,0.65,407,0
11.36,Rice,Loam,0,0,0.21,543,0
12.95,Maize,Black,1,1,0.36,443,0
8.55,Cotton,Clay,1,0,0.52,538,0
2.55,Millets,Loam,1,1,0.78,893,1
2.55,Rice,Sandy,0,1,0.78,834,0
9.49,Sugarcane,Loam,0,0,0.36,1422,0
13.47,Millets,Loam,1,0,0.56,645,0
4.34,Cotton,Black,0,1,0.37,1165,0
11.37,Wheat,Loam,0,1,0.2,664,0
8.71,Millets,Loam,0,0,0.35,1079,0
3.34,Rice,Sandy,1,0,0.67,506,0
12.52,Sugarcane,Sandy,0,0,0.42,1256,0
4.84,Rice,Black,1,1,0.91,476,1
3.15,Rice,Loam,0,0,0.9,710,0
11.07,Cotton,Sandy,0,0,0.48,739,0
8.0,Rice,Loam,1,0,0.74,393,0
11.68,Sugarcane,Loam,1,0,0.46,1095,0
3.61,Wheat,Sandy,1,1,0.75,1410,1
10.7,Millets,Loam,0,1,0.56,873,0
12.12,Rice,Clay,0,0,0.29,1184,0
4.02,Sugarcane,Black,1,1,0.54,1121,1
8.07,Rice,Loam,1,0,0.76,1117,0
6.79,Wheat,Clay,0,1,0.58,828,0
9.64,Millets,Clay,1,1,0.23,764,0
10.86,Millets,Black,1,0,0.45,1491,0
8.61,Sugarcane,Black,1,1,0.34,1413,0
6.15,Wheat,Sandy,0,0,0.81,1434,0
11.93,Wheat,Black,1,1,0.77,1354,1
14.51,Maize,Clay,1,0,0.77,449,0
9.95,Maize,Black,0,0,0.85,981,0
8.16,Rice,Black,1,1,0.65,1006,1
2.09,Sugarcane,Sandy,1,1,0.87,1229,1
4.45,Millets,Clay,0,0,0.68,1295,0
3.19,Wheat,Loam,0,0,0.84,1403,0
8.46,Cotton,Clay,1,1,0.44,503,0
1.96,Wheat,Loam,0,1,0.6,1049,0
14.21,Rice,Clay,1,1,0.91,372,1
2.46,Wheat,Sandy,1,0,0.23,893,0
11.92,Cotton,Loam,0,1,0.75,1243,0
8.39,Wheat,Clay,0,0,0.85,599,0
11.27,Wheat,Sandy,0,1,0.58,794,0
0.62,Millets,Sandy,1,0,0.65,882,0
9.56,Cotton,Black,0,0,0.22,1323,0
0.85,Wheat,Sandy,1,1,0.37,352,0
7.89,Rice,Loam,0,1,0.27,1445,0
7.25,Sugarcane,Black,1,0,0.29,1333,0
7.27,Sugarcane,Clay,1,1,0.79,744,1
11.29,Millets,Clay,1,1,0.92,635,1
10.93,Cotton,Sandy,0,0,0.32,1032,0
13.06,Cotton,Black,1,0,0.2,1066,0
5.55,Cotton,Clay,0,0,0.84,1327,0
12.98,Sugarcane,Clay,1,0,0.32,785,0
14.51,Wheat,Black,1,1,0.67,759,1
5.18,Cotton,Loam,0,0,0.27,1374,0
7.06,Sugarcane,Sandy,0,0,0.87,380,0
5.1,Millets,Sandy,1,0,0.82,1348,0
5.39,Wheat,Clay,1,1,0.49,1012,0
3.63,Cotton,Clay,1,0,0.94,1284,0
5.9,Maize,Black,0,0,0.42,439,0
0.77,Sugarcane,Loam,0,1,0.93,871,0
14.77,Maize,Black,1,1,0.79,1290,1
7.27,Sugarcane,Loam,0,0,0.86,1462,0
2.12,Cotton,Black,0,1,0.79,1077,0
9.16,Maize,Loam,0,1,0.51,1124,0
13.17,Maize,Clay,0,0,0.55,1496,0
13.7,Wheat,Black,1,0,0.27,327,0
10.66,Millets,Clay,1,1,0.46,1070,0
6.95,Wheat,Black,1,0,0.48,1380,0
4.25,Cotton,Sandy,1,1,0.88,1146,1
5.43,Maize,Sandy,0,1,0.87,1179,0
3.13,Sugarcane,Black,0,0,0.33,440,0
12.59,Maize,Black,0,1,0.39,601,0
14.72,Wheat,Black,0,0,0.89,797,0
13.01,Sugarcane,Clay,0,1,0.9,1257,0
12.12,Wheat,Black,1,1,0.94,971,1
14.87,Rice,Black,1,0,0.39,484,0
3.28,Cotton,Sandy,0,1,0.33,1164,0
7.39,Rice,Black,1,0,0.39,924,0
5.25,Rice,Clay,1,1,0.93,1416,1
13.75,Wheat,Clay,0,0,0.6,1036,0
0.68,Millets,Black,0,0,0.53,809,0
13.72,Wheat,Loam,0,1,0.85,1203,0
13.61,Maize,Loam,1,0,0.24,371,0
6.71,Sugarcane,Sandy,1,0,0.48,457,0
8.53,Wheat,Clay,1,1,0.73,1072,1
5.12,Millets,Loam,1,1,0.43,391,0
1.09,Wheat,Sandy,0,1,0.76,652,0
6.4,Millets,Clay,1,1,0.88,510,1
10.6,Cotton,Clay,1,0,0.52,1167,0
9.63,Sugarcane,Clay,1,1,0.79,1027,1
6.96,Maize,Loam,1,1,0.27,536,0
12.14,Sugarcane,Sandy,1,0,0.41,649,0
13.46,Cotton,Black,0,1,0.76,1210,0
14.78,Sugarcane,Clay,0,0,0.53,1499,0
12.77,Cotton,Loam,1,1,0.4,450,0
10.34,Rice,Sandy,1,1,0.94,827,1
7.02,Rice,Sandy,0,1,0.52,1160,0
14.81,Millets,Clay,0,0,0.84,1389,0
6.41,Millets,Clay,0,1,0.86,304,0
1.78,Millets,Loam,0,1,0.56,1073,0
9.32,Wheat,Loam,0,0,0.95,940,0
11.08,Sugarcane,Clay,1,0,0.91,533,0
4.86,Sugarcane,Clay,1,1,0.61,880,1
11.08,Wheat,Loam,0,0,0.71,1295,0
13.96,Rice,Clay,0,0,0.48,365,0
8.29,Millets,Sandy,1,0,0.62,1342,0
9.98,Wheat,Clay,1,1,0.33,974,0
13.11,Cotton,Sandy,0,0,0.32,483,0
7.39,Cotton,Loam,0,0,0.56,528,0
14.36,Sugarcane,Clay,1,1,0.75,910,1
0.54,Wheat,Clay,1,0,0.49,1178,0
7.71,Wheat,Black,0,0,0.57,752,0
8.55,Cotton,Sandy,1,0,0.34,1130,0
0.54,Cotton,Sandy,1,0,0.83,627,0
8.9,Rice,Black,1,0,0.81,1395,0
14.55,Maize,Sandy,0,0,0.79,492,0
1.88,Cotton,Clay,1,1,0.76,1355,0
9.85,Rice,Loam,0,0,0.82,399,0
3.39,Sugarcane,Sandy,0,1,0.39,620,0
0.71,Millets,Clay,0,1,0.28,1298,0
6.81,Rice,Sandy,1,0,0.93,1428,0
12.94,Maize,Clay,0,0,0.7,1003,0
1.79,Millets,Loam,0,0,0.79,765,0
1.52,Millets,Clay,0,1,0.84,1012,0
1.46,Millets,Black,0,0,0.85,635,0
3.92,Maize,Sandy,1,1,0.46,892,0
11.44,Maize,Black,0,1,0.66,420,0
13.26,Sugarcane,Clay,1,0,0.26,639,0
1.39,Wheat,Sandy,1,0,0.82,811,0
12.57,Sugarcane,Loam,0,0,0.42,1483,0
4.3,Millets,Black,0,1,0.92,905,0
6.12,Wheat,Loam,0,1,0.8,455,0
9.59,Maize,Clay,1,0,0.68,612,0
10.19,Cotton,Sandy,0,1,0.74,642,0
1.44,Cotton,Clay,0,1,0.89,761,0
7.01,Rice,Black,1,0,0.73,502,0
7.16,Sugarcane,Clay,1,1,0.49,1202,0
2.55,Millets,Loam,1,1,0.45,1431,0
3.26,Sugarcane,Clay,1,0,0.4,376,0
8.66,Maize,Black,1,1,0.78,1315,1
3.49,Sugarcane,Black,1,1,0.71,638,1
11.21,Cotton,Black,0,1,0.4,336,0
10.42,Rice,Clay,1,1,0.39,1249,0
4.04,Millets,Clay,1,1,0.77,505,1
5.27,Rice,Sandy,0,0,0.36,700,0
9.9,Wheat,Black,1,0,0.65,1184,0
8.93,Rice,Clay,0,0,0.86,1350,0
8.64,Millets,Clay,1,0,0.65,420,0
8.04,Rice,Black,0,1,0.92,618,0
8.71,Rice,Black,1,0,0.39,1289,0
2.23,Sugarcane,Clay,0,1,0.21,1485,0
8.82,Cotton,Black,1,0,0.52,1313,0
5.52,Sugarcane,Loam,1,1,0.66,1476,1
5.17,Cotton,Clay,0,1,0.5,1349,0
12.79,Wheat,Sandy,1,1,0.93,463,1
10.95,Millets,Sandy,0,0,0.31,519,0
11.81,Maize,Sandy,0,1,0.88,549,0
2.54,Cotton,Loam,0,1,0.94,1085,0
9.61,Wheat,Black,0,0,0.51,643,0
2.3,Sugarcane,Black,1,1,0.77,1140,1
1.6,Wheat,Black,1,0,0.91,1124,0
13.78,Maize,Loam,0,1,0.86,926,0
8.88,Rice,Black,1,0,0.6,584,0
8.88,Wheat,Clay,0,1,0.63,635,0
14.67,Rice,Black,1,1,0.52,780,1
11.8,Sugarcane,Sandy,0,0,0.89,1380,0
6.4,Wheat,Loam,1,1,0.3,1464,0
7.6,Cotton,Loam,0,1,0.63,1388,0
12.41,Millets,Black,1,1,0.66,1076,1
2.87,Millets,Black,1,1,0.56,913,1
7.6,Millets,Sandy,1,1,0.7,1365,1
2.65,Millets,Loam,0,1,0.95,1477,0
2.17,Wheat,Clay,1,0,0.39,767,0
1.82,Wheat,Black,0,0,0.89,655,0
2.35,Cotton,Loam,0,1,0.55,1001,0
9.98,Rice,Black,0,1,0.78,1181,0
4.9,Cotton,Sandy,1,0,0.45,1286,0
7.67,Wheat,Loam,1,1,0.93,1094,1
11.52,Cotton,Sandy,0,1,0.89,812,0
6.32,Wheat,Sandy,0,0,0.72,1357,0
7.97,Millets,Sandy,1,1,0.91,404,1
12.24,Cotton,Loam,1,1,0.94,709,1
12.17,Wheat,Black,1,0,0.52,469,0
11.68,Millets,Black,1,0,0.65,806,0
8.34,Sugarcane,Black,0,0,0.94,1075,0
0.64,Wheat,Clay,1,0,0.43,1343,0
10.42,Wheat,Black,0,0,0.84,318,0
5.44,Cotton,Clay,1,0,0.35,499,0
4.86,Sugarcane,Sandy,1,1,0.35,938,0
3.14,Cotton,Loam,1,1,0.59,682,1
1.9,Wheat,Clay,1,1,0.93,821,0
6.07,Cotton,Clay,0,1,0.49,600,0
0.72,Sugarcane,Sandy,0,1,0.29,1453,0
5.91,Cotton,Loam,1,0,0.88,424,0
7.94,Rice,Loam,0,0,0.27,523,0
9.99,Millets,Sandy,1,1,0.81,390,1
8.3,Rice,Loam,0,1,0.73,518,0
13.08,Wheat,Black,0,0,0.56,1193,0
12.05,Millets,Clay,0,1,0.75,382,0
10.25,Cotton,Clay,0,1,0.47,1001,0
4.77,Millets,Clay,1,1,0.79,1041,1
3.43,Cotton,Black,1,1,0.66,503,1
2.18,Rice,Sandy,1,1,0.78,1254,1
4.34,Maize,Loam,1,1,0.89,678,1
3.95,Sugarcane,Loam,1,1,0.83,1260,1
11.41,Cotton,Loam,0,1,0.68,598,0
14.95,Rice,Loam,0,0,0.41,633,0
12.27,Rice,Clay,1,1,0.36,1402,0
12.39,Wheat,Loam,0,1,0.87,914,0
2.71,Maize,Loam,0,0,0.45,859,0
4.37,Sugarcane,Black,0,1,0.45,1321,0
14.57,Millets,Clay,1,1,0.85,1363,1
4.68,Millets,Black,0,0,0.55,453,0
8.12,Sugarcane,Black,1,0,0.83,753,0
6.68,Sugarcane,Loam,0,1,0.24,338,0
14.28,Rice,Sandy,0,1,0.92,1286,0
12.53,Cotton,Loam,0,0,0.21,886,0
1.26,Cotton,Black,1,0,0.89,1187,0
8.01,Wheat,Sandy,1,1,0.39,844,0
8.05,Maize,Black,0,1,0.24,640,0
9.83,Millets,Black,1,0,0.3,807,0
7.17,Sugarcane,Black,0,0,0.7,1339,0
8.33,Sugarcane,Loam,0,1,0.31,414,0
2.5,Maize,Black,1,0,0.38,1364,0
8.35,Rice,Black,0,1,0.23,664,0
3.6,Wheat,Clay,1,0,0.47,744,0
12.88,Maize,Black,0,1,0.82,442,0
6.68,Cotton,Clay,1,1,0.65,1267,1
1.57,Maize,Sandy,1,0,0.92,753,0
1.02,Cotton,Clay,1,0,0.3,466,0
1.26,Maize,Black,0,1,0.47,1227,0
4.19,Sugarcane,Loam,1,1,0.47,1056,0
8.27,Maize,Sandy,0,1,0.43,1453,0
5.88,Millets,Sandy,0,0,0.39,393,0
6.87,Cotton,Clay,1,0,0.43,1356,0
13.85,Maize,Sandy,1,1,0.86,318,1
12.94,Maize,Sandy,0,0,0.68,1375,0
11.54,Sugarcane,Black,1,1,0.91,862,1
2.93,Cotton,Black,1,0,0.91,1103,0
3.97,Millets,Black,1,1,0.64,330,1
3.64,Sugarcane,Loam,1,1,0.35,1255,0
3.33,Millets,Sandy,0,1,0.58,427,0
10.57,Sugarcane,Clay,1,1,0.91,327,1
7.38,Sugarcane,Clay,0,1,0.4,1486,0
12.01,Millets,Sandy,1,0,0.34,701,0
5.07,Rice,Sandy,0,1,0.38,1049,0
4.05,Maize,Black,1,1,0.42,776,0
3.87,Maize,Black,0,0,0.84,644,0
10.3,Wheat,Sandy,0,1,0.21,842,0
5.2,Cotton,Sandy,1,1,0.47,511,0
14.93,Millets,Clay,1,1,0.34,1075,0
7.91,Sugarcane,Loam,0,1,0.54,966,0
10.78,Maize,Clay,0,1,0.25,1465,0
0.53,Millets,Loam,1,1,0.66,1170,0
8.61,Wheat,Black,1,1,0.87,861,1
12.55,Maize,Loam,1,0,0.61,623,0
9.75,Cotton,Loam,1,0,0.9,1482,0
1.62,Wheat,Sandy,0,0,0.77,434,0
2.08,Wheat,Black,1,1,0.24,822,0
10.41,Millets,Sandy,1,0,0.43,496,0
2.11,Millets,Sandy,0,0,0.84,359,0
7.59,Maize,Sandy,0,0,0.2,1486,0
3.22,Maize,Black,0,1,0.66,677,0
12.47,Maize,Loam,1,1,0.89,625,1
11.94,Millets,Black,1,0,0.93,1150,0
14.89,Sugarcane,Black,1,0,0.8,794,0
13.05,Wheat,Clay,0,1,0.67,1046,0
2.57,Rice,Loam,1,0,0.7,1498,0
11.28,Rice,Black,1,0,0.71,922,0
12.54,Rice,Sandy,0,0,0.34,686,0
4.25,Rice,Clay,1,1,0.31,1230,0
6.87,Millets,Black,1,0,0.48,1072,0
11.07,Wheat,Loam,0,1,0.77,917,0
14.97,Cotton,Sandy,0,0,0.7,564,0
3.6,Maize,Clay,0,0,0.23,1416,0
3.42,Rice,Black,0,0,0.78,1491,0
4.79,Wheat,Black,0,0,0.49,1376,0
6.21,Rice,Sandy,0,1,0.76,1211,0
14.22,Wheat,Loam,0,1,0.87,666,0
12.26,Cotton,Loam,0,0,0.45,1270,0
2.25,Millets,Loam,1,1,0.57,1463,1
7.73,Millets,Loam,1,0,0.74,1106,0
1.23,Cotton,Clay,0,1,0.22,628,0
2.15,Rice,Black,1,0,0.76,622,0
7.84,Wheat,Loam,1,1,0.76,1323,1
13.19,Rice,Sandy,0,0,0.89,606,0
8.57,Rice,Sandy,1,0,0.37,1102,0
7.77,Cotton,Sandy,0,1,0.25,845,0
2.9,Wheat,Loam,0,1,0.24,646,0
3.16,Sugarcane,Black,1,0,0.83,1369,0
7.74,Millets,Loam,0,1,0.63,1228,0
10.36,Cotton,Clay,0,0,0.35,387,0
8.0,Rice,Clay,1,1,0.44,987,0
2.21,Cotton,Loam,0,0,0.75,1149,0
13.65,Sugarcane,Clay,0,0,0.7,1321,0
14.99,Wheat,Sandy,1,1,0.77,628,1
7.39,Millets,Loam,0,0,0.65,394,0
2.03,Cotton,Black,1,0,0.58,843,0
4.59,Maize,Sandy,1,0,0.2,542,0
8.45,Wheat,Clay,0,0,0.71,837,0
14.95,Millets,Clay,1,0,0.77,620,0
5.92,Sugarcane,Loam,1,0,0.2,1181,0
10.31,Millets,Loam,0,1,0.71,634,0
3.28,Rice,Clay,1,1,0.86,868,1
10.29,Rice,Loam,1,0,0.54,381,0
3.35,Maize,Clay,0,0,0.62,515,0
5.2,Sugarcane,Sandy,1,1,0.69,1412,1
7.75,Wheat,Sandy,0,1,0.89,1346,0
12.46,Wheat,Sandy,0,1,0.85,1171,0
8.23,Maize,Clay,0,0,0.2,983,0
14.94,Rice,Sandy,0,1,0.72,1045,0
2.07,Millets,Loam,1,0,0.86,1217,0
8.92,Millets,Clay,1,0,0.2,1359,0
1.16,Cotton,Clay,1,0,0.23,467,0
8.21,Rice,Sandy,1,1,0.58,1342,1
4.83,Rice,Loam,1,0,0.39,372,0
12.57,Cotton,Loam,0,1,0.94,627,0
2.37,Rice,Clay,0,0,0.66,468,0
9.89,Sugarcane,Sandy,0,1,0.5,1043,0
12.52,Wheat,Clay,1,0,0.65,813,0
1.14,Cotton,Black,0,1,0.7,1150,0
7.11,Maize,Loam,0,1,0.6,860,0
4.78,Maize,Sandy,0,1,0.49,1023,0
2.15,Maize,Loam,0,1,0.57,1349,0
8.6,Maize,Black,1,1,0.8,320,1
3.21,Rice,Black,1,1,0.28,548,0
2.35,Millets,Clay,0,0,0.86,317,0
10.54,Cotton,Black,1,1,0.55,1246,1
14.03,Rice,Sandy,1,0,0.86,979,0
12.56,Sugarcane,Sandy,0,1,0.52,311,0
1.16,Maize,Loam,1,1,0.46,1073,0
9.01,Millets,Clay,0,0,0.61,1429,0
5.88,Cotton,Sandy,1,0,0.42,1184,0
3.8,Millets,Loam,1,0,0.43,464,0
4.62,Rice,Loam,1,1,0.91,718,1
7.95,Sugarcane,Sandy,0,0,0.29,944,0
13.06,Maize,Clay,0,1,0.88,437,0
14.54,Wheat,Sandy,0,0,0.9,727,0
8.83,Sugarcane,Loam,1,1,0.93,365,1
14.2,Rice,Loam,0,1,0.22,528,0
14.07,Maize,Clay,1,1,0.56,1327,1
6.95,Millets,Sandy,0,0,0.79,978,0
4.87,Sugarcane,Clay,0,0,0.6,341,0
3.93,Rice,Black,1,1,0.92,493,1
0.9,Maize,Sandy,1,0,0.26,467,0
12.43,Sugarcane,Clay,1,0,0.35,1051,0
12.95,Sugarcane,Loam,1,1,0.95,394,1
5.63,Rice,Black,1,0,0.26,474,0
4.01,Sugarcane,Black,0,1,0.74,887,0
10.37,Millets,Black,0,1,0.7,895,0
10.63,Sugarcane,Clay,0,1,0.91,364,0
1.34,Rice,Black,0,0,0.46,1257,0
5.23,Cotton,Black,1,0,0.57,932,0
7.99,Rice,Clay,1,0,0.55,477,0
9.03,Sugarcane,Sandy,1,0,0.75,775,0
12.01,Cotton,Loam,0,0,0.88,849,0
14.1,Wheat,Sandy,0,0,0.42,328,0
12.3,Millets,Black,1,1,0.66,869,1
1.54,Maize,Black,1,1,0.79,1249,0
11.3,Millets,Black,0,1,0.9,690,0
10.9,Cotton,Black,0,0,0.74,657,0
3.33,Rice,Clay,1,0,0.42,606,0
2.87,Sugarcane,Loam,0,0,0.48,708,0
10.85,Millets,Loam,1,1,0.32,509,0
7.13,Millets,Sandy,0,0,0.43,1484,0
5.69,Wheat,Black,1,0,0.4,822,0
