Area,Crop,Soil,NDVI,Rainfall,Carbon
6.45,Millets,Clay,0.68,1186,2.6
12.11,Wheat,Black,0.41,1286,4.92
13.27,Millets,Loam,0.84,1103,7.38
13.32,Cotton,Sandy,0.52,912,3.03
3.84,Millets,Clay,0.54,1474,1.53
4.4,Sugarcane,Sandy,0.73,1047,4.04
5.18,Maize,Sandy,0.42,1494,2.34
2.27,Maize,Black,0.75,968,1.63
11.01,Maize,Loam,0.62,953,7.03
2.56,Millets,Clay,0.38,1467,0.71
6.96,Cotton,Sandy,0.84,507,1.42
13.46,Sugarcane,Clay,0.41,580,4.8
4.07,Cotton,Clay,0.79,1314,2.53
1.86,Cotton,Clay,0.7,344,0.27
11.21,Maize,Loam,0.73,423,3.74
3.34,Wheat,Black,0.6,1455,2.25
2.92,Sugarcane,Clay,0.55,711,1.71
4.4,Cotton,Sandy,0.57,1086,1.31
1.14,Sugarcane,Clay,0.47,1181,0.95
11.28,Cotton,Loam,0.4,664,2.16
4.94,Millets,Clay,0.76,878,1.65
11.39,Rice,Sandy,0.87,1231,7.81
1.26,Maize,Sandy,0.42,549,0.21
5.6,Cotton,Loam,0.36,565,0.82
6.36,Millets,Black,0.61,308,0.66
12.12,Sugarcane,Black,0.34,387,2.63
4.19,Cotton,Sandy,0.33,743,0.49
2.67,Millets,Clay,0.91,375,0.46
5.65,Millets,Loam,0.8,816,2.21
4.21,Wheat,Black,0.71,1067,2.46
2.63,Cotton,Black,0.53,634,0.58
2.99,Sugarcane,Sandy,0.48,388,0.67
6.83,Cotton,Clay,0.84,844,2.91
9.9,Cotton,Sandy,0.73,522,1.81
9.28,Cotton,Clay,0.62,1471,5.08
13.03,Sugarcane,Clay,0.57,839,9.35
10.66,Maize,Sandy,0.87,1367,9.13
12.47,Cotton,Loam,0.73,852,5.58
1.03,Sugarcane,Loam,0.4,1020,0.76
6.26,Wheat,Clay,0.38,973,1.62
8.54,Millets,Loam,0.74,1003,3.8
2.94,Cotton,Loam,0.52,782,0.86
11.94,Millets,Black,0.66,1338,5.8
6.31,Cotton,Loam,0.51,687,1.59
10.22,Sugarcane,Sandy,0.74,1132,10.27
6.3,Millets,Black,0.78,1246,3.37
8.2,Millets,Clay,0.7,420,1.21
6.67,Rice,Loam,0.68,1114,4.85
2.63,Rice,Sandy,0.86,577,0.84
1.39,Millets,Sandy,0.53,448,0.13
13.53,Cotton,Clay,0.81,805,5.29
3.94,Wheat,Clay,0.5,1061,1.46
5.29,Rice,Sandy,0.32,952,1.03
7.35,Sugarcane,Clay,0.47,651,3.37
14.43,Sugarcane,Clay,0.46,1397,13.91
7.73,Rice,Loam,0.67,967,4.81
13.41,Cotton,Loam,0.64,1338,8.27
1.76,Rice,Loam,0.51,698,0.6
1.8,Wheat,Clay,0.93,305,0.36
6.14,Maize,Sandy,0.4,1478,2.61
12.36,Millets,Clay,0.54,538,1.8
6.02,Wheat,Loam,0.79,440,1.76
5.71,Wheat,Black,0.47,1482,3.06
1.47,Wheat,Clay,0.88,1386,1.26
13.88,Maize,Black,0.3,1190,4.91
1.79,Maize,Sandy,0.85,443,0.49
1.98,Sugarcane,Clay,0.34,758,0.77
9.66,Cotton,Clay,0.34,440,0.87
2.07,Millets,Loam,0.41,1426,0.73
9.34,Rice,Clay,0.88,702,4.62
7.18,Wheat,Black,0.75,857,3.55
3.92,Wheat,Clay,0.85,398,0.93
9.74,Millets,Black,0.61,888,2.9
8.87,Cotton,Clay,0.72,1068,4.09
12.72,Rice,Loam,0.47,491,2.82
11.32,Millets,Clay,0.6,1312,4.46
13.52,Rice,Clay,0.82,810,7.18
5.53,Wheat,Loam,0.38,1230,2.17
1.44,Millets,Black,0.52,433,0.18
14.64,Maize,Black,0.41,546,3.24
13.81,Millets,Loam,0.35,678,1.97
7.0,Rice,Clay,0.59,469,1.55
8.88,Wheat,Clay,0.84,882,4.61
4.18,Rice,Loam,0.4,1278,2.05
6.35,Maize,Sandy,0.36,469,0.77
1.33,Wheat,Sandy,0.5,422,0.16
12.51,Wheat,Clay,0.58,1443,7.33
3.44,Wheat,Sandy,0.52,1272,1.27
12.61,Millets,Black,0.42,1386,4.04
6.56,Rice,Black,0.91,730,3.83
2.27,Rice,Clay,0.69,309,0.39
4.05,Rice,Clay,0.58,1178,2.21
11.05,Maize,Clay,0.56,769,4.28
9.96,Millets,Sandy,0.72,413,1.18
10.55,Sugarcane,Sandy,0.93,605,7.12
7.0,Sugarcane,Black,0.61,1407,9.91
9.01,Millets,Loam,0.43,726,1.69
10.3,Maize,Black,0.92,1181,11.08
6.89,Maize,Sandy,0.77,1231,4.7
5.41,Cotton,Loam,0.78,638,1.94
7.61,Maize,Loam,0.95,458,3.58
14.17,Sugarcane,Sandy,0.71,305,3.68
5.7,Rice,Sandy,0.76,1468,4.07
13.55,Sugarcane,Sandy,0.33,912,4.89
12.32,Rice,Sandy,0.42,1185,3.92
12.27,Cotton,Sandy,0.57,340,1.14
7.4,Wheat,Loam,0.47,699,2.04
12.22,Cotton,Clay,0.92,1329,8.96
2.76,Maize,Black,0.57,1234,1.92
2.94,Rice,Clay,0.4,515,0.48
6.66,Maize,Clay,0.45,1159,3.13
6.41,Millets,Sandy,0.45,1443,1.66
12.15,Cotton,Black,0.83,664,4.42
6.85,Cotton,Loam,0.5,349,0.86
10.65,Wheat,Sandy,0.55,1360,4.46
11.19,Maize,Black,0.84,1336,12.43
5.51,Millets,Loam,0.37,867,1.06
13.32,Rice,Loam,0.61,399,3.11
3.93,Millets,Loam,0.45,1051,1.12
9.51,Sugarcane,Sandy,0.31,682,2.41
11.4,Rice,Sandy,0.57,1343,5.59
11.4,Millets,Clay,0.91,489,2.54
9.86,Sugarcane,Loam,0.92,754,12.31
11.6,Wheat,Black,0.52,712,3.31
3.62,Sugarcane,Loam,0.53,1143,3.95
9.55,Maize,Black,0.56,650,3.44
11.85,Millets,Loam,0.68,383,1.85
3.28,Maize,Clay,0.82,1291,3.13
13.79,Maize,Loam,0.57,1268,10.76
11.19,Cotton,Sandy,0.75,564,2.27
5.88,Cotton,Loam,0.64,761,2.06
9.01,Sugarcane,Sandy,0.42,494,2.24
4.8,Wheat,Clay,0.39,691,0.91
11.44,Maize,Loam,0.78,1248,12.03
8.17,Rice,Sandy,0.83,1071,4.65
14.37,Maize,Clay,0.68,1044,9.18
5.12,Cotton,Black,0.36,524,0.64
13.45,Millets,Clay,0.37,435,1.08
5.62,Cotton,Clay,0.47,1486,2.36
2.86,Maize,Black,0.93,522,1.37
11.67,Cotton,Black,0.42,421,1.36
13.41,Wheat,Clay,0.73,584,4.0
11.38,Rice,Clay,0.72,773,5.07
3.64,Rice,Sandy,0.66,543,0.83
13.99,Cotton,Clay,0.89,914,6.83
14.06,Wheat,Clay,0.7,1095,7.54
10.75,Millets,Clay,0.72,501,1.94
5.12,Rice,Loam,0.81,1241,4.94
6.21,Wheat,Black,0.84,1050,4.22
12.63,Wheat,Sandy,0.87,353,2.17
7.79,Maize,Sandy,0.35,1029,2.02
14.87,Wheat,Clay,0.68,1250,8.85
13.52,Rice,Loam,0.61,819,6.48
11.06,Wheat,Black,0.68,1425,8.25
7.79,Wheat,Loam,0.46,344,1.04
4.11,Maize,Loam,0.84,1188,4.43
6.67,Rice,Black,0.42,558,1.38
1.59,Maize,Black,0.55,464,0.4
11.26,Cotton,Sandy,0.92,738,3.67
4.79,Rice,Sandy,0.51,724,1.13
4.12,Sugarcane,Sandy,0.73,667,2.41
6.98,Cotton,Clay,0.79,571,1.89
13.03,Rice,Black,0.85,1361,13.26
11.86,Cotton,Loam,0.9,633,4.86
10.29,Cotton,Clay,0.56,1073,3.71
6.9,Millets,Black,0.45,931,1.59
11.44,Cotton,Black,0.55,670,2.78
9.8,Sugarcane,Loam,0.77,583,7.92
3.21,Rice,Loam,0.82,1092,2.76
4.04,Millets,Black,0.52,443,0.51
7.84,Millets,Clay,0.79,435,1.35
8.06,Sugarcane,Clay,0.54,358,2.34
2.5,Cotton,Sandy,0.52,839,0.52
2.92,Rice,Black,0.94,1026,2.48
8.7,Sugarcane,Clay,0.91,1417,16.83
7.7,Cotton,Black,0.65,354,1.17
9.44,Cotton,Black,0.36,1276,2.86
4.48,Cotton,Loam,0.38,767,0.94
1.42,Rice,Loam,0.39,1273,0.68
8.81,Wheat,Sandy,0.84,1255,5.2
12.98,Wheat,Black,0.58,1250,7.25
2.69,Wheat,Clay,0.31,1262,0.74
11.64,Maize,Sandy,0.42,1110,3.91
6.15,Millets,Black,0.63,820,1.75
7.01,Cotton,Black,0.83,955,3.67
14.7,Wheat,Black,0.91,365,3.76
9.17,Maize,Sandy,0.44,370,1.07
6.29,Rice,Loam,0.92,992,5.51
14.03,Sugarcane,Black,0.59,582,7.95
9.17,Wheat,Clay,0.65,1009,4.21
8.18,Cotton,Loam,0.47,1215,3.36
2.11,Millets,Loam,0.9,936,1.07
2.22,Cotton,Black,0.74,805,0.87
8.56,Rice,Loam,0.95,720,5.62
9.66,Rice,Sandy,0.45,791,2.2
4.71,Maize,Clay,0.64,1129,3.06
14.23,Sugarcane,Black,0.91,672,14.36
1.81,Sugarcane,Black,0.82,1187,2.91
7.84,Rice,Loam,0.41,710,2.19
13.54,Cotton,Black,0.63,756,4.26
8.67,Rice,Black,0.41,1385,4.33
2.73,Maize,Sandy,0.52,618,0.63
5.96,Wheat,Clay,0.58,1184,2.86
12.93,Cotton,Sandy,0.47,1334,3.89
13.96,Sugarcane,Clay,0.68,714,10.17
2.47,Wheat,Clay,0.48,593,0.49
12.27,Cotton,Black,0.8,1274,8.25
1.44,Maize,Sandy,0.52,480,0.26
1.21,Maize,Black,0.3,377,0.14
8.4,Millets,Loam,0.76,1277,4.89
10.38,Cotton,Loam,0.73,713,3.89
5.23,Sugarcane,Loam,0.87,479,3.92
3.02,Rice,Loam,0.59,486,0.83
7.96,Rice,Loam,0.56,1315,5.63
13.89,Sugarcane,Clay,0.34,1007,7.13
4.84,Maize,Sandy,0.48,766,1.28
6.31,Millets,Sandy,0.63,379,0.6
11.23,Cotton,Clay,0.46,1424,4.41
13.28,Wheat,Black,0.41,1435,6.02
9.98,Cotton,Black,0.68,1182,5.29
7.61,Maize,Clay,0.41,765,2.15
11.52,Maize,Sandy,0.82,981,6.67
8.47,Rice,Sandy,0.75,1351,5.49
11.96,Cotton,Clay,0.36,1479,3.82
12.97,Wheat,Sandy,0.38,1227,3.39
10.81,Rice,Loam,0.34,856,3.02
2.23,Sugarcane,Clay,0.68,1086,2.47
6.9,Millets,Clay,0.8,1112,3.07
13.91,Maize,Clay,0.8,741,7.42
14.06,Wheat,Black,0.69,573,4.28
10.1,Sugarcane,Loam,0.52,1239,11.71
9.56,Wheat,Black,0.79,630,3.66
10.18,Sugarcane,Loam,0.79,726,10.51
4.59,Maize,Loam,0.81,405,1.63
9.3,Sugarcane,Loam,0.89,1034,15.41
9.44,Wheat,Clay,0.41,644,1.74
10.34,Sugarcane,Loam,0.89,1180,19.55
5.08,Millets,Black,0.91,1292,3.28
9.21,Sugarcane,Clay,0.48,570,3.78
12.4,Cotton,Clay,0.78,1308,7.59
10.03,Sugarcane,Black,0.57,943,8.9
9.81,Wheat,Sandy,0.59,1292,4.19
2.05,Rice,Black,0.9,698,1.13
3.31,Rice,Loam,0.8,1287,3.27
2.3,Wheat,Loam,0.55,413,0.44
11.77,Maize,Sandy,0.41,1006,3.5
10.68,Maize,Loam,0.73,561,4.72
14.68,Rice,Loam,0.6,1036,8.76
13.47,Rice,Black,0.76,468,4.22
2.47,Millets,Loam,0.72,1318,1.41
8.09,Maize,Sandy,0.94,1092,5.98
2.91,Wheat,Sandy,0.54,961,0.85
4.82,Cotton,Black,0.4,1383,1.76
2.04,Millets,Sandy,0.52,725,0.31
8.19,Cotton,Sandy,0.86,383,1.29
12.69,Maize,Black,0.76,1003,9.58
11.92,Wheat,Clay,0.95,659,5.22
9.49,Wheat,Clay,0.74,525,2.58
9.95,Rice,Clay,0.74,532,3.13
11.19,Sugarcane,Black,0.82,1331,20.15
7.03,Wheat,Loam,0.94,461,2.56
12.39,Wheat,Loam,0.75,1266,9.88
13.36,Wheat,Loam,0.59,450,2.98
7.79,Maize,Sandy,0.8,1056,4.74
2.96,Maize,Black,0.72,1122,2.37
12.15,Wheat,Sandy,0.59,487,1.95
1.81,Maize,Loam,0.61,948,1.13
4.92,Maize,Sandy,0.34,575,0.69
2.87,Wheat,Black,0.81,921,1.65
3.87,Cotton,Sandy,0.89,1482,2.45
13.7,Cotton,Black,0.76,1345,9.24
13.37,Wheat,Clay,0.36,1334,4.49
12.48,Sugarcane,Black,0.79,1234,20.07
10.87,Cotton,Sandy,0.73,1174,4.47
2.44,Rice,Loam,0.43,393,0.4
9.68,Maize,Black,0.52,995,4.96
12.3,Millets,Loam,0.92,760,5.16
12.72,Maize,Clay,0.76,396,3.45
12.51,Sugarcane,Clay,0.95,1396,24.89
5.42,Rice,Clay,0.79,441,1.51
7.46,Millets,Sandy,0.51,867,1.32
3.81,Rice,Clay,0.39,1261,1.5
10.21,Millets,Black,0.76,1333,5.69
8.96,Rice,Clay,0.58,1199,4.98
4.47,Sugarcane,Loam,0.93,1277,9.56
10.24,Sugarcane,Loam,0.31,1132,6.47
12.27,Rice,Sandy,0.88,624,4.31
13.04,Wheat,Sandy,0.87,512,3.25
11.12,Rice,Sandy,0.71,1420,7.18
9.51,Wheat,Black,0.8,783,4.59
3.78,Sugarcane,Clay,0.64,1062,3.85
2.22,Millets,Sandy,0.8,1238,0.88
13.74,Sugarcane,Black,0.87,1390,27.42
3.96,Millets,Loam,0.75,803,1.43
7.41,Wheat,Loam,0.7,516,2.25
4.38,Rice,Sandy,0.3,1240,1.04
9.62,Wheat,Loam,0.61,694,3.42
13.32,Cotton,Clay,0.52,1283,5.33
14.52,Sugarcane,Sandy,0.92,1037,16.62
14.81,Maize,Black,0.48,1211,8.52
8.78,Sugarcane,Black,0.84,912,11.1
4.5,Millets,Black,0.44,1223,1.33
13.93,Millets,Loam,0.4,801,2.68
10.79,Maize,Loam,0.65,1221,9.25
5.34,Cotton,Sandy,0.86,949,2.09
10.64,Wheat,Clay,0.61,1021,4.64
4.71,Cotton,Loam,0.69,530,1.24
4.71,Sugarcane,Loam,0.33,432,1.21
7.91,Sugarcane,Black,0.6,538,4.21
8.13,Maize,Loam,0.62,600,3.27
9.98,Maize,Loam,0.68,448,3.28
6.92,Cotton,Clay,0.53,575,1.27
12.37,Maize,Loam,0.71,905,8.58
11.02,Millets,Clay,0.85,1149,5.38
10.84,Cotton,Clay,0.91,494,2.92
3.71,Millets,Black,0.61,596,0.74
12.42,Wheat,Black,0.75,1409,10.11
13.89,Millets,Black,0.42,369,1.18
11.76,Cotton,Clay,0.48,462,1.56
7.99,Sugarcane,Sandy,0.8,1477,11.33
5.21,Cotton,Loam,0.6,331,0.74
12.14,Cotton,Sandy,0.47,507,1.39
9.92,Wheat,Sandy,0.58,1425,4.59
3.24,Sugarcane,Loam,0.63,802,2.95
9.58,Millets,Black,0.51,978,2.63
5.19,Millets,Black,0.34,447,0.43
5.52,Wheat,Clay,0.57,959,2.11
7.66,Rice,Clay,0.69,358,1.51
13.15,Cotton,Sandy,0.82,878,4.54
5.77,Sugarcane,Sandy,0.33,689,1.57
5.99,Sugarcane,Clay,0.36,1043,3.37
13.48,Rice,Black,0.8,934,8.86
7.74,Wheat,Black,0.48,306,0.88
10.51,Wheat,Black,0.62,1437,7.21
11.06,Millets,Loam,0.95,812,5.12
12.11,Maize,Clay,0.66,329,2.37
1.53,Wheat,Clay,0.5,1456,0.78
3.29,Millets,Clay,0.63,772,0.8
13.34,Wheat,Clay,0.6,1159,6.49
1.18,Cotton,Loam,0.32,1326,0.36
2.7,Millets,Loam,0.34,1448,0.8
1.32,Rice,Loam,0.93,969,1.14
7.74,Maize,Loam,0.86,515,3.7
6.37,Rice,Loam,0.33,578,1.17
5.44,Wheat,Clay,0.4,537,0.82
11.82,Sugarcane,Black,0.57,877,9.75
4.78,Rice,Black,0.67,1158,3.26
10.08,Sugarcane,Loam,0.73,491,6.5
1.99,Rice,Black,0.47,1396,1.15
14.47,Maize,Clay,0.64,978,8.15
10.61,Maize,Loam,0.68,1010,7.87
11.84,Wheat,Black,0.52,882,4.18
3.89,Rice,Black,0.92,1121,3.53
5.11,Maize,Clay,0.39,1403,2.52
13.34,Sugarcane,Loam,0.57,998,13.66
13.22,Rice,Clay,0.81,787,6.74
1.81,Millets,Black,0.93,583,0.54
1.11,Cotton,Clay,0.87,1063,0.62
14.15,Rice,Clay,0.54,1347,8.23
3.52,Sugarcane,Sandy,0.56,619,1.46
12.98,Wheat,Black,0.67,748,5.01
6.27,Sugarcane,Sandy,0.53,1043,4.16
4.96,Wheat,Sandy,0.33,1153,1.06
10.05,Millets,Sandy,0.81,1097,3.57
5.49,Cotton,Sandy,0.39,494,0.51
3.33,Sugarcane,Loam,0.77,708,3.27
4.57,Millets,Sandy,0.62,635,0.72
12.99,Millets,Sandy,0.48,506,1.26
2.68,Maize,Clay,0.83,1257,2.52
1.42,Rice,Clay,0.71,763,0.62
14.57,Millets,Clay,0.43,512,1.6
13.55,Sugarcane,Black,0.68,963,14.64
9.67,Sugarcane,Loam,0.79,775,10.66
10.61,Maize,Black,0.71,560,4.18
3.88,Millets,Black,0.32,1132,0.77
8.99,Cotton,Sandy,0.82,546,1.93
6.18,Rice,Loam,0.68,1147,4.63
7.64,Rice,Black,0.3,301,0.61
13.41,Rice,Loam,0.93,1213,14.52
6.96,Maize,Sandy,0.44,1099,2.42
13.91,Cotton,Loam,0.73,525,3.84
5.14,Rice,Clay,0.49,1466,2.95
8.69,Rice,Sandy,0.54,756,2.27
1.18,Rice,Clay,0.54,801,0.41
14.18,Cotton,Black,0.64,361,2.16
8.99,Sugarcane,Sandy,0.52,685,3.84
2.46,Millets,Black,0.93,1349,1.7
11.55,Cotton,Loam,0.56,1383,6.44
5.88,Wheat,Loam,0.37,1398,2.55
1.26,Maize,Clay,0.77,1120,0.98
1.31,Sugarcane,Clay,0.66,724,0.94
2.8,Rice,Clay,0.49,1083,1.19
5.55,Maize,Loam,0.89,1130,6.03
6.93,Millets,Black,0.81,1494,4.61
3.45,Cotton,Clay,0.92,963,1.83
8.66,Maize,Clay,0.51,866,3.44
6.33,Sugarcane,Loam,0.52,1480,8.77
9.88,Cotton,Black,0.36,1454,3.41
11.58,Cotton,Sandy,0.68,1299,4.91
3.09,Millets,Loam,0.51,1064,1.01
6.47,Sugarcane,Black,0.91,514,4.99
7.77,Rice,Black,0.32,1478,3.23
9.46,Cotton,Clay,0.65,921,3.4
5.26,Millets,Sandy,0.56,1094,1.29
4.58,Rice,Black,0.6,736,1.78
2.51,Millets,Sandy,0.34,873,0.3
12.84,Sugarcane,Loam,0.33,360,2.75
6.64,Cotton,Clay,0.81,359,1.16
4.73,Wheat,Sandy,0.55,774,1.13
8.53,Sugarcane,Loam,0.87,1436,19.18
11.38,Rice,Black,0.46,720,3.32
8.98,Rice,Loam,0.41,1130,3.99
11.93,Rice,Sandy,0.74,373,2.11
8.39,Wheat,Loam,0.94,421,2.79
7.25,Sugarcane,Sandy,0.85,577,4.27
8.4,Millets,Black,0.31,396,0.57
13.71,Maize,Loam,0.81,1282,15.38
14.52,Maize,Loam,0.89,519,7.24
7.18,Maize,Black,0.43,1231,3.76
11.33,Cotton,Sandy,0.83,820,3.7
13.36,Cotton,Black,0.54,1474,7.02
6.74,Millets,Loam,0.56,313,0.71
3.14,Maize,Black,0.5,831,1.29
11.49,Sugarcane,Loam,0.41,351,2.98
12.58,Sugarcane,Sandy,0.44,1105,7.34
5.78,Maize,Black,0.54,1384,4.28
6.82,Millets,Loam,0.6,1336,3.28
5.47,Rice,Sandy,0.55,884,1.7
13.85,Rice,Black,0.59,651,4.68
12.87,Cotton,Black,0.42,578,2.06
8.07,Millets,Sandy,0.65,1016,2.13
11.43,Sugarcane,Loam,0.81,1320,22.0
11.86,Rice,Black,0.58,572,3.46
8.0,Wheat,Loam,0.85,717,4.1
5.57,Maize,Sandy,0.59,630,1.49
1.19,Sugarcane,Black,0.55,919,0.99
9.72,Millets,Black,0.95,1032,5.24
1.91,Cotton,Sandy,0.59,953,0.52
2.6,Cotton,Clay,0.79,1399,1.72
3.34,Sugarcane,Loam,0.67,1189,4.79
9.48,Maize,Loam,0.43,678,2.98
5.32,Millets,Black,0.49,769,1.1
6.59,Cotton,Loam,0.43,1261,2.57
2.51,Millets,Clay,0.79,573,0.57
2.17,Sugarcane,Loam,0.69,853,2.3
5.48,Maize,Black,0.49,1194,3.17
13.3,Cotton,Clay,0.83,1366,9.05
14.06,Rice,Sandy,0.56,913,4.6
3.85,Wheat,Clay,0.74,868,1.73
10.08,Cotton,Loam,0.79,736,4.22
4.0,Millets,Sandy,0.52,997,0.83
7.53,Millets,Clay,0.92,368,1.27
3.66,Millets,Clay,0.35,1337,0.86
2.85,Cotton,Loam,0.59,640,0.77
6.81,Rice,Loam,0.6,1367,5.36
13.0,Millets,Sandy,0.46,505,1.21
10.22,Wheat,Clay,0.55,1335,5.25
2.26,Cotton,Black,0.91,1450,1.97
9.38,Maize,Clay,0.95,972,7.8
10.31,Millets,Loam,0.53,1140,3.74
13.05,Millets,Black,0.91,829,5.41
9.11,Maize,Black,0.83,714,5.34
4.0,Wheat,Black,0.32,1225,1.21
8.32,Cotton,Clay,0.45,1449,3.26
10.07,Sugarcane,Clay,0.61,1004,9.25
14.53,Millets,Clay,0.77,720,4.03
1.15,Millets,Black,0.7,920,0.41
3.58,Sugarcane,Loam,0.41,752,1.99
2.21,Maize,Loam,0.36,485,0.42
1.93,Sugarcane,Sandy,0.54,969,1.21
14.06,Wheat,Black,0.61,926,6.12
2.48,Millets,Loam,0.46,933,0.64
8.82,Wheat,Clay,0.95,1350,7.92
10.29,Wheat,Loam,0.42,1031,3.74
6.73,Millets,Loam,0.79,918,2.93
4.19,Cotton,Loam,0.72,1037,2.25
2.23,Rice,Sandy,0.51,1151,0.84
10.94,Cotton,Black,0.43,660,2.05
12.91,Rice,Sandy,0.83,1446,9.92
8.19,Cotton,Loam,0.92,1313,7.12
10.18,Wheat,Sandy,0.91,1194,6.19
5.35,Wheat,Loam,0.45,1347,2.72
5.42,Millets,Black,0.81,430,1.04
8.17,Millets,Black,0.6,345,0.93
14.99,Cotton,Clay,0.46,1122,4.64
14.72,Sugarcane,Black,0.64,396,6.16
10.27,Cotton,Black,0.52,1109,3.91
10.32,Rice,Clay,0.7,1250,7.22
3.96,Sugarcane,Black,0.62,393,1.59
2.36,Cotton,Black,0.78,1142,1.39
2.66,Millets,Sandy,0.35,914,0.34
10.62,Millets,Sandy,0.3,1354,1.73
7.4,Cotton,Loam,0.44,1220,2.86
5.95,Maize,Black,0.72,825,3.5
1.04,Sugarcane,Black,0.76,1121,1.46
10.35,Millets,Black,0.43,531,1.3
10.58,Maize,Clay,0.58,874,4.83
13.4,Maize,Black,0.52,979,6.75
2.61,Maize,Loam,0.59,1208,2.01
11.66,Millets,Clay,0.48,1010,2.83
7.6,Sugarcane,Black,0.37,390,1.81
14.53,Wheat,Black,0.68,737,5.61
8.26,Millets,Sandy,0.78,1061,2.73
10.71,Maize,Clay,0.58,648,3.62
14.58,Rice,Clay,0.91,1372,14.56
9.37,Millets,Black,0.83,1212,5.18
6.35,Millets,Clay,0.72,1355,3.1
9.7,Maize,Loam,0.34,817,2.91
13.89,Millets,Black,0.76,378,2.19
9.3,Millets,Loam,0.32,760,1.36
6.08,Rice,Black,0.6,514,1.65
14.75,Millets,Black,0.44,1404,5.01
14.85,Rice,Black,0.37,522,2.52
10.78,Rice,Clay,0.85,329,2.41
1.69,Rice,Black,0.52,1157,0.89
12.3,Maize,Black,0.34,746,3.09
14.13,Cotton,Loam,0.34,1055,3.65
6.61,Millets,Clay,0.9,530,1.58
12.02,Maize,Clay,0.42,1227,5.57
6.47,Sugarcane,Loam,0.91,1411,14.95
6.79,Maize,Sandy,0.63,1169,3.6
2.32,Cotton,Sandy,0.76,383,0.32
13.71,Sugarcane,Black,0.8,1290,23.35
13.1,Sugarcane,Clay,0.89,1060,18.54
9.16,Wheat,Clay,0.31,1244,2.47
12.15,Sugarcane,Clay,0.93,1395,23.64
9.74,Maize,Black,0.81,1392,10.87
3.95,Millets,Sandy,0.75,1058,1.25
12.95,Sugarcane,Clay,0.9,1173,20.51
5.43,Cotton,Loam,0.82,877,2.81
13.04,Cotton,Sandy,0.65,1320,5.37
9.25,Millets,Sandy,0.62,822,1.89
12.34,Wheat,Loam,0.67,1443,10.02
9.37,Rice,Clay,0.56,1304,5.47
2.01,Cotton,Sandy,0.86,1212,1.01
8.49,Wheat,Loam,0.67,987,4.72
10.52,Sugarcane,Clay,0.48,1083,8.2
12.5,Millets,Black,0.7,1030,4.96
7.46,Millets,Clay,0.66,632,1.56
9.15,Millets,Black,0.38,1258,2.41
8.68,Sugarcane,Sandy,0.71,1232,9.11
1.06,Wheat,Sandy,0.73,868,0.38
1.12,Rice,Clay,0.88,1444,1.14
3.4,Wheat,Loam,0.44,984,1.24
11.39,Cotton,Clay,0.79,1448,7.82
1.99,Wheat,Sandy,0.36,1143,0.46
14.75,Cotton,Sandy,0.63,664,2.96
1.49,Sugarcane,Sandy,0.86,314,0.48
9.56,Wheat,Sandy,0.69,1261,4.66
8.07,Cotton,Sandy,0.79,411,1.26
1.87,Wheat,Loam,0.79,692,0.86
